Name,Meta_Data
boxD_18,"boxD_18(6.000x5.000x2.000, weight: 2.000) pos([0, 0, 0]) rt(5) vol(60.000)"
boxD_19,"boxD_19(6.000x5.000x2.000, weight: 2.000) pos([0, 0, 0]) rt(5) vol(60.000)"
